Node,Location,Employer,College
U22088,['springfield illinois area'],"['family video', 'university of illinois at springfield']",['macmurray college']
U18983,['beijing city china'],"['big appetite network', 'carnegie endowment for international peace', 'global campaign for climate action (gcca)', 'global social venture competition', 'greenpeace', 'undp']",['renmin university of china']
U8900,['greater atlanta area'],['northgate church'],['berean school of bible springfield illinois']
U2746,['san francisco bay area'],"['beijing institute of technology', 'linkedin', 'university of massachusetts amherst']",['beijing institute of technology']
U13032,['greater chicago area'],"['american eagle outfitters', 'roland realty', 'roosevelt university: counseling center', 'roosevelt university: melissa sisco ph.d', 'university of illinois at urbana-champaign', ""women's resource center""]",['university of illinois at urbana-champaign']
U27648,['greater new york city area'],"['intel', 'rutgers university', 'shanghai jiao tong university']",['tongji university']
U2140,['raleigh-durham north carolina area'],"['semprius', 'university of illinois at urbana-champaign']",['university of illinois at urbana-champaign']
U9680,['springfield illinois area'],"['champaign-urbana community fabrication laboratory', 'manplan inc']",['university of illinois at urbana-champaign']
U24113,['san francisco bay area'],['stanford university'],['stanford university']
U24177,['munich area germany'],"['apa-iutcert', 'celonis gmbh', 'farabord', 'gfk']",['isfahan university of technology']
U15919,['mumbai area india'],"['avanti fellows', 'cognizant technology solutions']",['indian institute of technology bombay']
U15333,['urbana-champaign illinois area'],"['ebay inc', 'engineering it shared services', 'groupon', 'prof. lawrence angrave research group', 'shahjalal university of science and technology', 'state farm insurance', 'university of illinois at urbana-champaign']",['university of illinois at urbana-champaign']
U24247,['greater boston area'],"['i coppi', 'ingaldsby farm', 'university of illinois at urbana-champaign']",['skidmore college']
U7253,['urbana-champaign illinois area'],"['boeing', 'harper community college', 'university of illinois at urbana-champaign']",['university of illinois at urbana-champaign']
U24158,['iran'],"['ific', 'shega']",['university of isfahan']
U8721,['san francisco bay area'],"['google', 'hewlett-packard laboratories', 'university of illinois at urbana-champaign', 'yahoo!']",['national institute of technology tiruchirappalli']
U27707,['greater san diego area'],"['intel china research center', 'microsoft', 'university of illinois at urbana-champaign']",['tsinghua university']
U2663,['china'],"['microsoft research china', 'ucla', 'zhejiang university']",['zhejiang university']
U27542,['greater new york city area'],"['capstone investment advisors', 'commerzbank ag']",['shanghai jiao tong university']
U27332,['urbana-champaign illinois area'],"['amazon', 'no.1 puppy', 'standard chartered bank']",['university of illinois at urbana-champaign']
U24184,['urbana-champaign illinois area'],"['china automotive industry engineering corp.', 'dr. h.r thompson md', 'intelligent medical objects', 'spot trading llc']",['university of illinois at urbana-champaign']
U14131,['greater seattle area'],"['facebook', 'google', 'microsoft', 'telco in a box', 'university of new south wales']",['university of new south wales']
U22753,['hyderabad area india'],"['amazon.com', 'bhabha atomic research center', 'intel corporation', 'oracle', 'yahoo!']",['birla institute of technology and science']
U3989,['beijing city china'],"['baidu inc.', ""noah's ark lab huawei technologies co. ltd.""]",['shanghai jiao tong university']
U18928,['portland oregon area'],"['ace properties and management llc', 'caterpillar champaign simulation center', 'caterpillar inc.', 'corporate synergy development center', 'daimler trucks north america', 'science technology and information center national science council', 'university of illinois at urbana-champaign']",['national taiwan university of science and technology']
U8100,['mansfield ohio area'],"['black squirrel bed &amp; breakfast', 'boda corporation', 'harra decal', 'murfin division menasha corporation']",['ohio state university']
U1055,['washington d.c. metro area'],"['graduate management admission council&#xae; (gmac&#xae;)', 'republic of korea army', 'university of massachusetts amherst']",['sungkyunkwan university']
U4542,['urbana-champaign illinois area'],"['caterpillar inc.', 'nondestructive tesing center tsinghua univ.', 'university of illinois at urbana-champaign']",['tsinghua university']
U4568,['san francisco bay area'],"['bell laboratories', 'google', 'samsung', 'university of illinois at urbana-champaign']",['shanghai jiao tong university']
U22074,['greater chicago area'],"['university of illinois at chicago', 'university of illinois springfield']",['university of illinois springfield']
U22045,['greater chicago area'],['chicago public schools'],['university of illinois at urbana-champaign']
U18555,['gainesville florida area'],"['mindtree ltd.', 'morikami museum and japanese gardens', 'niche mobile', 'programming team', 'samuel p. harn museum of art', 'university of florida']",['university of florida']
U8741,['urbana-champaign illinois area'],"['california institute for telecommunications and information technology', 'fujitsu laboratories of america', 'nasa goddard space flight center', 'smsold', 'systems research group university of illinois at urbana-champaign', 'uci computer graphics group']",['university of california irvine']
U8768,['urbana-champaign illinois area'],"['bangladesh university of engineering &amp; technology', 'hewlett-packard laboratories', 'microsoft research', 'university of illinois at urbana-champaign', 'university of waterloo', 'xerox innovation group xerox research center webster']",['bangladesh university of engineering and technology']
U14531,['urbana-champaign illinois area'],"['abbott power plant university of illinois', 'vineyard bible institute', 'vineyard church of paxton illinois']",['lincoln christian university']
U8098,['urbana-champaign illinois area'],"['federal law enforcement training center', 'illinois state police investigations', 'natia', 'west park digital media']",['purdue university']
U9126,['greater chicago area'],"['chaparral college', 'higher learning commission', 'office of community college research and leadership']",['illinois state university']
U15949,['london united kingdom'],['deutsche bank'],['indian institute of technology bombay']
U14547,['urbana-champaign illinois area'],"['chitralada palace school', 'express employment professionals', 'hyatt regency hill country resort and spa']",['baylor university']
